Gen,C1_name,C1_unary1_key,C1_binary_key,C1_unary2_key,C2_name,C2_unary1_key,C2_binary_key,C2_unary2_key,C3_name,C3_unary1_key,C3_binary_key,C3_unary2_key,Loss,Accuracy
1,"min((-x), sinh(x))",(-x),"min(x1, x2)",sinh(x),"min(cos(x), cos(x))",cos(x),"min(x1, x2)",cos(x),"max(cos(x), min(x, 0))",cos(x),"max(x1, x2)","min(x, 0)",2.1495537757873535,0.3174000084400177
1,"max(min(x, 0), sinh(x))","min(x, 0)","max(x1, x2)",sinh(x),x**3 / (exp(-x^2) + err),x**3,x1 / (x2 + err),exp(-x^2),"max(0, tanh(x))",0,"max(x1, x2)",tanh(x),nan,0.10000000149011612
1,cosh(x) / (1 + err),cosh(x),x1 / (x2 + err),1,cos(x) + x,cos(x),x1 + x2,x,"min(log(1 + exp(x)), tanh(x))",log(1 + exp(x)),"min(x1, x2)",tanh(x),nan,0.10000000149011612
1,"min((1/(1 + exp(-x))), x**2)",(1/(1 + exp(-x))),"min(x1, x2)",x**2,sqrt(x) * (1/(1 + exp(-x))),sqrt(x),x1 * x2,(1/(1 + exp(-x))),"min(sinc(x), 0)",sinc(x),"min(x1, x2)",0,nan,0.10000000149011612
1,"max(1, cos(x))",1,"max(x1, x2)",cos(x),log(1 + exp(x)) + x**3,log(1 + exp(x)),x1 + x2,x**3,"max(x**2, cosh(x))",x**2,"max(x1, x2)",cosh(x),2.9037948466738496e+31,0.10000000149011612
1,exp(x) + exp(x),exp(x),x1 + x2,exp(x),"max(exp(-x^2), sqrt(x))",exp(-x^2),"max(x1, x2)",sqrt(x),erf(x) + exp(x),erf(x),x1 + x2,exp(x),nan,0.10000000149011612
1,asinh(x) / (cosh(x) + err),asinh(x),x1 / (x2 + err),cosh(x),"min(tanh(x), (1/(1 + exp(-x))))",tanh(x),"min(x1, x2)",(1/(1 + exp(-x))),x**3 / (log(1 + exp(x)) + err),x**3,x1 / (x2 + err),log(1 + exp(x)),1.181254506111145,0.5806000232696533
1,atanh(x) / (log(abs(x + err)) + err),atanh(x),x1 / (x2 + err),log(abs(x + err)),log(abs(x + err)) + cos(x),log(abs(x + err)),x1 + x2,cos(x),sinh(x) * tanh(x),sinh(x),x1 * x2,tanh(x),nan,0.10000000149011612
1,tanh(x) / (sqrt(x) + err),tanh(x),x1 / (x2 + err),sqrt(x),"max(x**3, log(abs(x + err)))",x**3,"max(x1, x2)",log(abs(x + err)),sinh(x) / (erf(x) + err),sinh(x),x1 / (x2 + err),erf(x),nan,0.10000000149011612
1,"min(log(1 + exp(x)), x**2)",log(1 + exp(x)),"min(x1, x2)",x**2,"min(x, erf(x))",x,"min(x1, x2)",erf(x),log(abs(x + err)) - x**2,log(abs(x + err)),x1 - x2,x**2,nan,0.10000000149011612
1,cosh(x) / (sinc(x) + err),cosh(x),x1 / (x2 + err),sinc(x),sinc(x) / (atanh(x) + err),sinc(x),x1 / (x2 + err),atanh(x),"max(erf(x), exp(-x^2))",erf(x),"max(x1, x2)",exp(-x^2),nan,0.10000000149011612
1,"max((-x), atanh(x))",(-x),"max(x1, x2)",atanh(x),sin(x) - sin(x),sin(x),x1 - x2,sin(x),"min(x**3, sinh(x))",x**3,"min(x1, x2)",sinh(x),nan,0.10000000149011612
1,sin(x) - asinh(x),sin(x),x1 - x2,asinh(x),"1 + min(x, 0)",1,x1 + x2,"min(x, 0)",exp(x) * sin(x),exp(x),x1 * x2,sin(x),nan,0.10000000149011612
