Gen,C1_name,C1_unary1_key,C1_binary_key,C1_unary2_key,C2_name,C2_unary1_key,C2_binary_key,C2_unary2_key,C3_name,C3_unary1_key,C3_binary_key,C3_unary2_key,Loss,Accuracy
1,1 + cos(x),1,x1 + x2,cos(x),"max(x**3, abs(x))",x**3,"max(x1, x2)",abs(x),exp(-x^2) / (asinh(x) + err),exp(-x^2),x1 / (x2 + err),asinh(x),2.3061962127685547,0.10520000010728836
1,(-x) - abs(x),(-x),x1 - x2,abs(x),"min(tanh(x), 0)",tanh(x),"min(x1, x2)",0,"min(atanh(x), max(x, 0))",atanh(x),"min(x1, x2)","max(x, 0)",nan,0.10000000149011612
1,cosh(x) + 0,cosh(x),x1 + x2,0,"max(sinh(x), sinh(x))",sinh(x),"max(x1, x2)",sinh(x),0 / (cosh(x) + err),0,x1 / (x2 + err),cosh(x),nan,0.10000000149011612
1,log(1 + exp(x)) / (x**3 + err),log(1 + exp(x)),x1 / (x2 + err),x**3,abs(x) / (asinh(x) + err),abs(x),x1 / (x2 + err),asinh(x),"min(log(1 + exp(x)), (1/(1 + exp(-x))))",log(1 + exp(x)),"min(x1, x2)",(1/(1 + exp(-x))),nan,0.10000000149011612
1,"max((1/(1 + exp(-x))), exp(-x^2))",(1/(1 + exp(-x))),"max(x1, x2)",exp(-x^2),cosh(x) + (-x),cosh(x),x1 + x2,(-x),abs(x) / (1 + err),abs(x),x1 / (x2 + err),1,nan,0.10000000149011612
1,(-x) - (1/(1 + exp(-x))),(-x),x1 - x2,(1/(1 + exp(-x))),cos(x) / ((-x) + err),cos(x),x1 / (x2 + err),(-x),"min(x**2, sin(x))",x**2,"min(x1, x2)",sin(x),nan,0.10000000149011612
1,"min(x**2, asinh(x))",x**2,"min(x1, x2)",asinh(x),cos(x) / (tanh(x) + err),cos(x),x1 / (x2 + err),tanh(x),"max(x, 0) - exp(x)","max(x, 0)",x1 - x2,exp(x),nan,0.10000000149011612
1,sin(x) + erf(x),sin(x),x1 + x2,erf(x),"max((-x), atanh(x))",(-x),"max(x1, x2)",atanh(x),"min(x**2, sinh(x))",x**2,"min(x1, x2)",sinh(x),nan,0.10000000149011612
1,"min(x**2, log(1 + exp(x)))",x**2,"min(x1, x2)",log(1 + exp(x)),"min(tanh(x), log(1 + exp(x)))",tanh(x),"min(x1, x2)",log(1 + exp(x)),"min(sinh(x), (-x))",sinh(x),"min(x1, x2)",(-x),0.980673611164093,0.6474000215530396
1,cosh(x) * cosh(x),cosh(x),x1 * x2,cosh(x),x**2 * asinh(x),x**2,x1 * x2,asinh(x),"max(abs(x), exp(x))",abs(x),"max(x1, x2)",exp(x),nan,0.10000000149011612
1,erf(x) + cos(x),erf(x),x1 + x2,cos(x),sin(x) * cosh(x),sin(x),x1 * x2,cosh(x),"log(abs(x + err)) / (max(x, 0) + err)",log(abs(x + err)),x1 / (x2 + err),"max(x, 0)",nan,0.10000000149011612
1,sinc(x) - exp(x),sinc(x),x1 - x2,exp(x),(1/(1 + exp(-x))) - x**3,(1/(1 + exp(-x))),x1 - x2,x**3,0 + sqrt(x),0,x1 + x2,sqrt(x),nan,0.10000000149011612
1,"min(log(abs(x + err)), sin(x))",log(abs(x + err)),"min(x1, x2)",sin(x),"max(exp(x), log(abs(x + err)))",exp(x),"max(x1, x2)",log(abs(x + err)),"min(x, exp(-x^2))",x,"min(x1, x2)",exp(-x^2),nan,0.10000000149011612
1,1 / ((-x) + err),1,x1 / (x2 + err),(-x),"min(abs(x), exp(-x^2))",abs(x),"min(x1, x2)",exp(-x^2),(1/(1 + exp(-x))) / (x + err),(1/(1 + exp(-x))),x1 / (x2 + err),x,nan,0.10000000149011612
1,sinh(x) * 0,sinh(x),x1 * x2,0,cos(x) - exp(x),cos(x),x1 - x2,exp(x),0 / (asinh(x) + err),0,x1 / (x2 + err),asinh(x),2.3025882244110107,0.10000000149011612
