Gen,C1_name,C1_unary1_key,C1_binary_key,C1_unary2_key,Loss,Accuracy
1,x / (atanh(x) + err),x,x1 / (x2 + err),atanh(x),nan,0.10000000149011612
1,"max((-x), x**3)",(-x),"max(x1, x2)",x**3,20779815141376.0,0.10199999809265137
1,(1/(1 + exp(-x))) / (x**2 + err),(1/(1 + exp(-x))),x1 / (x2 + err),x**2,nan,0.10000000149011612
1,"tanh(x) - max(x, 0)",tanh(x),x1 - x2,"max(x, 0)",1.1438267230987549,0.5899999737739563
1,"min((1/(1 + exp(-x))), tanh(x))",(1/(1 + exp(-x))),"min(x1, x2)",tanh(x),0.9458290934562683,0.6687999963760376
1,x**3 / (x**3 + err),x**3,x1 / (x2 + err),x**3,nan,0.10000000149011612
1,"max(0, exp(-x^2))",0,"max(x1, x2)",exp(-x^2),2.099310874938965,0.2029999941587448
1,"asinh(x) * min(x, 0)",asinh(x),x1 * x2,"min(x, 0)",0.8714660406112671,0.6944000124931335
1,"min(x**2, erf(x))",x**2,"min(x1, x2)",erf(x),1.0707931518554688,0.6266000270843506
1,"min(log(abs(x + err)), exp(-x^2))",log(abs(x + err)),"min(x1, x2)",exp(-x^2),nan,0.10000000149011612
1,x**2 * 1,x**2,x1 * x2,1,2.3033032417297363,0.10279999673366547
1,abs(x) / (sinh(x) + err),abs(x),x1 / (x2 + err),sinh(x),nan,0.10000000149011612
1,exp(x) + 1,exp(x),x1 + x2,1,nan,0.10000000149011612
1,"min(sqrt(x), tanh(x))",sqrt(x),"min(x1, x2)",tanh(x),nan,0.10000000149011612
1,"min((1/(1 + exp(-x))), sin(x))",(1/(1 + exp(-x))),"min(x1, x2)",sin(x),1.1070908308029175,0.6141999959945679
1,sin(x) - sqrt(x),sin(x),x1 - x2,sqrt(x),nan,0.10000000149011612
1,x**3 + erf(x),x**3,x1 + x2,erf(x),2521017352192.0,0.09960000216960907
1,"min(x**3, x)",x**3,"min(x1, x2)",x,14275528.0,0.10019999742507935
1,"sinc(x) * min(x, 0)",sinc(x),x1 * x2,"min(x, 0)",1.2724850177764893,0.5598000288009644
1,x / (exp(-x^2) + err),x,x1 / (x2 + err),exp(-x^2),nan,0.10000000149011612
1,"min(x, 0) * exp(x)","min(x, 0)",x1 * x2,exp(x),1.6488741636276245,0.4413999915122986
1,"min(0, sqrt(x))",0,"min(x1, x2)",sqrt(x),2.3025856018066406,0.10000000149011612
1,"min(log(1 + exp(x)), x)",log(1 + exp(x)),"min(x1, x2)",x,1.0513156652450562,0.6377999782562256
1,abs(x) + exp(-x^2),abs(x),x1 + x2,exp(-x^2),0.991331934928894,0.6421999931335449
1,tanh(x) + sinc(x),tanh(x),x1 + x2,sinc(x),nan,0.10000000149011612
1,sinc(x) / (exp(-x^2) + err),sinc(x),x1 / (x2 + err),exp(-x^2),nan,0.10000000149011612
1,sqrt(x) + sin(x),sqrt(x),x1 + x2,sin(x),nan,0.10000000149011612
1,log(1 + exp(x)) - (-x),log(1 + exp(x)),x1 - x2,(-x),0.9889253973960876,0.6570000052452087
1,"min(x, 0) - 0","min(x, 0)",x1 - x2,0,1.0161973237991333,0.6338000297546387
1,"max(asinh(x), tanh(x))",asinh(x),"max(x1, x2)",tanh(x),0.9176285266876221,0.6851999759674072
1,erf(x) - exp(-x^2),erf(x),x1 - x2,exp(-x^2),1.0341780185699463,0.6425999999046326
1,abs(x) / (1 + err),abs(x),x1 / (x2 + err),1,0.8613855242729187,0.6926000118255615
1,tanh(x) / (sinc(x) + err),tanh(x),x1 / (x2 + err),sinc(x),nan,0.10000000149011612
1,"max(sqrt(x), asinh(x))",sqrt(x),"max(x1, x2)",asinh(x),nan,0.10000000149011612
1,sin(x) + 0,sin(x),x1 + x2,0,1.0231068134307861,0.6377999782562256
1,0 - abs(x),0,x1 - x2,abs(x),1.202957034111023,0.5766000151634216
1,x**3 + exp(-x^2),x**3,x1 + x2,exp(-x^2),6532481.5,0.09960000216960907
1,"sqrt(x) - max(x, 0)",sqrt(x),x1 - x2,"max(x, 0)",nan,0.10000000149011612
1,"max(erf(x), (-x))",erf(x),"max(x1, x2)",(-x),0.9129406213760376,0.680400013923645
1,"min((-x), cos(x))",(-x),"min(x1, x2)",cos(x),1.0468559265136719,0.6322000026702881
1,sqrt(x) * exp(x),sqrt(x),x1 * x2,exp(x),nan,0.10000000149011612
1,atanh(x) * tanh(x),atanh(x),x1 * x2,tanh(x),nan,0.10000000149011612
1,0 - atanh(x),0,x1 - x2,atanh(x),nan,0.10000000149011612
1,"sqrt(x) + min(x, 0)",sqrt(x),x1 + x2,"min(x, 0)",nan,0.10000000149011612
1,sin(x) * tanh(x),sin(x),x1 * x2,tanh(x),1.8810222148895264,0.29679998755455017
