Gen,C1_name,C1_unary1_key,C1_binary_key,C1_unary2_key,C2_name,C2_unary1_key,C2_binary_key,C2_unary2_key,C3_name,C3_unary1_key,C3_binary_key,C3_unary2_key,Loss,Accuracy
9,"max(x, (1/(1 + exp(-x))))",x,"max(x1, x2)",(1/(1 + exp(-x))),"min(min(x, 0), cosh(x))","min(x, 0)","min(x1, x2)",cosh(x),(1/(1 + exp(-x))) - (-x),(1/(1 + exp(-x))),x1 - x2,(-x),0.9023107290267944,0.682200014591217
9,"max(sin(x), (1/(1 + exp(-x))))",sin(x),"max(x1, x2)",(1/(1 + exp(-x))),"max(min(x, 0), max(x, 0))","min(x, 0)","max(x1, x2)","max(x, 0)","min(x**2, asinh(x))",x**2,"min(x1, x2)",asinh(x),0.8649609088897705,0.6988000273704529
9,"max(min(x, 0), log(1 + exp(x)))","min(x, 0)","max(x1, x2)",log(1 + exp(x)),"max(asinh(x), (-x))",asinh(x),"max(x1, x2)",(-x),"min(x, 0) - asinh(x)","min(x, 0)",x1 - x2,asinh(x),0.808296263217926,0.7131999731063843
9,"(-x) + min(x, 0)",(-x),x1 + x2,"min(x, 0)","sqrt(x) * max(x, 0)",sqrt(x),x1 * x2,"max(x, 0)","x**2 + max(x, 0)",x**2,x1 + x2,"max(x, 0)",0.9587752223014832,0.6629999876022339
9,"max(cos(x), asinh(x))",cos(x),"max(x1, x2)",asinh(x),"min(log(1 + exp(x)), (1/(1 + exp(-x))))",log(1 + exp(x)),"min(x1, x2)",(1/(1 + exp(-x))),(1/(1 + exp(-x))) + x,(1/(1 + exp(-x))),x1 + x2,x,0.9258154034614563,0.6747999787330627
9,"cos(x) - min(x, 0)",cos(x),x1 - x2,"min(x, 0)","max(sqrt(x), max(x, 0))",sqrt(x),"max(x1, x2)","max(x, 0)","sinc(x) + max(x, 0)",sinc(x),x1 + x2,"max(x, 0)",nan,0.10000000149011612
9,"max((-x), min(x, 0))",(-x),"max(x1, x2)","min(x, 0)",sqrt(x) * asinh(x),sqrt(x),x1 * x2,asinh(x),1 + asinh(x),1,x1 + x2,asinh(x),0.8005897402763367,0.7196000218391418
9,"max(log(1 + exp(x)), min(x, 0))",log(1 + exp(x)),"max(x1, x2)","min(x, 0)",sqrt(x) * sqrt(x),sqrt(x),x1 * x2,sqrt(x),"(1/(1 + exp(-x))) - min(x, 0)",(1/(1 + exp(-x))),x1 - x2,"min(x, 0)",0.8186047077178955,0.7113999724388123
9,"max(cosh(x), erf(x))",cosh(x),"max(x1, x2)",erf(x),"max(min(x, 0), max(x, 0))","min(x, 0)","max(x1, x2)","max(x, 0)","min(x, 0) - x","min(x, 0)",x1 - x2,x,1.0572035312652588,0.6223999857902527
9,x / (log(1 + exp(x)) + err),x,x1 / (x2 + err),log(1 + exp(x)),"max((-x), tanh(x))",(-x),"max(x1, x2)",tanh(x),sinc(x) - asinh(x),sinc(x),x1 - x2,asinh(x),0.9500941634178162,0.6636000275611877
9,"max(min(x, 0), log(1 + exp(x)))","min(x, 0)","max(x1, x2)",log(1 + exp(x)),"max(1, asinh(x))",1,"max(x1, x2)",asinh(x),1 * atanh(x),1,x1 * x2,atanh(x),nan,0.10000000149011612
9,"max(1, (1/(1 + exp(-x))))",1,"max(x1, x2)",(1/(1 + exp(-x))),"max(0, max(x, 0))",0,"max(x1, x2)","max(x, 0)","sinc(x) + max(x, 0)",sinc(x),x1 + x2,"max(x, 0)",nan,0.10000000149011612
9,"min(tanh(x), exp(-x^2))",tanh(x),"min(x1, x2)",exp(-x^2),x - (1/(1 + exp(-x))),x,x1 - x2,(1/(1 + exp(-x))),"min(1, (-x))",1,"min(x1, x2)",(-x),0.9975714087486267,0.6567999720573425
9,"min(log(abs(x + err)), x**3)",log(abs(x + err)),"min(x1, x2)",x**3,atanh(x) + log(abs(x + err)),atanh(x),x1 + x2,log(abs(x + err)),sinc(x) / (erf(x) + err),sinc(x),x1 / (x2 + err),erf(x),nan,0.10000000149011612
9,tanh(x) * cosh(x),tanh(x),x1 * x2,cosh(x),cosh(x) - asinh(x),cosh(x),x1 - x2,asinh(x),cos(x) * asinh(x),cos(x),x1 * x2,asinh(x),nan,0.10000000149011612
9,sinh(x) - exp(x),sinh(x),x1 - x2,exp(x),x**2 - x**3,x**2,x1 - x2,x**3,tanh(x) * sqrt(x),tanh(x),x1 * x2,sqrt(x),nan,0.10000000149011612
9,"x**3 - min(x, 0)",x**3,x1 - x2,"min(x, 0)","max(exp(-x^2), 1)",exp(-x^2),"max(x1, x2)",1,"min(sinc(x), log(abs(x + err)))",sinc(x),"min(x1, x2)",log(abs(x + err)),2.30258846282959,0.10000000149011612
9,sinh(x) / (log(abs(x + err)) + err),sinh(x),x1 / (x2 + err),log(abs(x + err)),(1/(1 + exp(-x))) * (1/(1 + exp(-x))),(1/(1 + exp(-x))),x1 * x2,(1/(1 + exp(-x))),"min(log(abs(x + err)), tanh(x))",log(abs(x + err)),"min(x1, x2)",tanh(x),nan,0.10000000149011612
9,"max(log(abs(x + err)), x**2)",log(abs(x + err)),"max(x1, x2)",x**2,"max((-x), tanh(x))",(-x),"max(x1, x2)",tanh(x),"min(x, 0) - 1","min(x, 0)",x1 - x2,1,0.9120333194732666,0.6736000180244446
9,"max(x, tanh(x))",x,"max(x1, x2)",tanh(x),(1/(1 + exp(-x))) / (sinh(x) + err),(1/(1 + exp(-x))),x1 / (x2 + err),sinh(x),"exp(-x^2) - min(x, 0)",exp(-x^2),x1 - x2,"min(x, 0)",nan,0.10000000149011612
9,abs(x) + x**2,abs(x),x1 + x2,x**2,"min(sqrt(x), tanh(x))",sqrt(x),"min(x1, x2)",tanh(x),"max((1/(1 + exp(-x))), atanh(x))",(1/(1 + exp(-x))),"max(x1, x2)",atanh(x),nan,0.10000000149011612
9,x**2 * erf(x),x**2,x1 * x2,erf(x),abs(x) * (1/(1 + exp(-x))),abs(x),x1 * x2,(1/(1 + exp(-x))),x**2 - (1/(1 + exp(-x))),x**2,x1 - x2,(1/(1 + exp(-x))),nan,0.10000000149011612
10,"max(min(x, 0), log(1 + exp(x)))","min(x, 0)","max(x1, x2)",log(1 + exp(x)),"max(1, asinh(x))",1,"max(x1, x2)",asinh(x),1 + asinh(x),1,x1 + x2,asinh(x),0.7844353318214417,0.729200005531311
10,"max(log(1 + exp(x)), min(x, 0))",log(1 + exp(x)),"max(x1, x2)","min(x, 0)",sqrt(x) * sqrt(x),sqrt(x),x1 * x2,sqrt(x),"(1/(1 + exp(-x))) - min(x, 0)",(1/(1 + exp(-x))),x1 - x2,"min(x, 0)",0.8186047077178955,0.7113999724388123
10,"max(min(x, 0), log(1 + exp(x)))","min(x, 0)","max(x1, x2)",log(1 + exp(x)),"max(asinh(x), (-x))",asinh(x),"max(x1, x2)",(-x),"min(x, 0) - asinh(x)","min(x, 0)",x1 - x2,asinh(x),0.808296263217926,0.7131999731063843
10,"max((-x), min(x, 0))",(-x),"max(x1, x2)","min(x, 0)",sqrt(x) * asinh(x),sqrt(x),x1 * x2,asinh(x),1 + asinh(x),1,x1 + x2,asinh(x),0.8005897402763367,0.7196000218391418
10,"max(min(x, 0), log(1 + exp(x)))","min(x, 0)","max(x1, x2)",log(1 + exp(x)),"max(1, asinh(x))",1,"max(x1, x2)",asinh(x),1 * log(1 + exp(x)),1,x1 * x2,log(1 + exp(x)),0.8005000352859497,0.7184000015258789
10,"max(min(x, 0), log(1 + exp(x)))","min(x, 0)","max(x1, x2)",log(1 + exp(x)),"max(cosh(x), asinh(x))",cosh(x),"max(x1, x2)",asinh(x),1 + asinh(x),1,x1 + x2,asinh(x),nan,0.10000000149011612
10,"max(max(x, 0), min(x, 0))","max(x, 0)","max(x1, x2)","min(x, 0)",sqrt(x) * asinh(x),sqrt(x),x1 * x2,asinh(x),1 + asinh(x),1,x1 + x2,asinh(x),0.8246230483055115,0.7135999798774719
10,"(-x) + min(x, 0)",(-x),x1 + x2,"min(x, 0)",sqrt(x) * asinh(x),sqrt(x),x1 * x2,asinh(x),1 + asinh(x),1,x1 + x2,asinh(x),0.9054164290428162,0.6814000010490417
