Gen,C1_name,C1_unary1_key,C1_binary_key,C1_unary2_key,Loss,Accuracy
2,"max(0, cosh(x))",0,"max(x1, x2)",cosh(x),nan,0.10000000149011612
2,(-x) / (abs(x) + err),(-x),x1 / (x2 + err),abs(x),2.303450345993042,0.10000000149011612
2,log(abs(x + err)) + abs(x),log(abs(x + err)),x1 + x2,abs(x),nan,0.10000000149011612
2,asinh(x) * (1/(1 + exp(-x))),asinh(x),x1 * x2,(1/(1 + exp(-x))),0.8088943362236023,0.7138000130653381
2,x * sqrt(x),x,x1 * x2,sqrt(x),0.8418123126029968,0.7009999752044678
2,"max(atanh(x), (1/(1 + exp(-x))))",atanh(x),"max(x1, x2)",(1/(1 + exp(-x))),nan,0.10000000149011612
2,"min(asinh(x), x)",asinh(x),"min(x1, x2)",x,0.974535346031189,0.6628000140190125
2,atanh(x) * cosh(x),atanh(x),x1 * x2,cosh(x),nan,0.10000000149011612
2,"min((1/(1 + exp(-x))), cosh(x))",(1/(1 + exp(-x))),"min(x1, x2)",cosh(x),0.8522577881813049,0.6984000205993652
2,"min(x**2, sinh(x))",x**2,"min(x1, x2)",sinh(x),nan,0.10000000149011612
2,"max(x, 0) * log(1 + exp(x))","max(x, 0)",x1 * x2,log(1 + exp(x)),nan,0.10000000149011612
2,log(1 + exp(x)) - x**2,log(1 + exp(x)),x1 - x2,x**2,nan,0.10000000149011612
2,sinh(x) + log(abs(x + err)),sinh(x),x1 + x2,log(abs(x + err)),nan,0.10000000149011612
2,"max(sin(x), 1)",sin(x),"max(x1, x2)",1,2.3065578937530518,0.10000000149011612
2,"min(sinh(x), 0)",sinh(x),"min(x1, x2)",0,nan,0.10000000149011612
2,log(abs(x + err)) - tanh(x),log(abs(x + err)),x1 - x2,tanh(x),nan,0.10000000149011612
2,"max(log(abs(x + err)), 1)",log(abs(x + err)),"max(x1, x2)",1,2.3284473419189453,0.10000000149011612
2,(-x) * log(abs(x + err)),(-x),x1 * x2,log(abs(x + err)),1.0031640529632568,0.6367999911308289
2,atanh(x) / (sin(x) + err),atanh(x),x1 / (x2 + err),sin(x),nan,0.10000000149011612
2,cos(x) * cosh(x),cos(x),x1 * x2,cosh(x),nan,0.10000000149011612
2,log(abs(x + err)) / (erf(x) + err),log(abs(x + err)),x1 / (x2 + err),erf(x),nan,0.10000000149011612
2,sin(x) / (sqrt(x) + err),sin(x),x1 / (x2 + err),sqrt(x),nan,0.10000000149011612
2,sin(x) - x**2,sin(x),x1 - x2,x**2,8.129554748535156,0.10339999943971634
2,"max((-x), log(abs(x + err)))",(-x),"max(x1, x2)",log(abs(x + err)),0.7784211039543152,0.7233999967575073
2,sin(x) / (log(1 + exp(x)) + err),sin(x),x1 / (x2 + err),log(1 + exp(x)),nan,0.10000000149011612
2,(-x) - tanh(x),(-x),x1 - x2,tanh(x),1.0915218591690063,0.6176000237464905
2,"min(sinh(x), abs(x))",sinh(x),"min(x1, x2)",abs(x),nan,0.10000000149011612
2,x * log(abs(x + err)),x,x1 * x2,log(abs(x + err)),0.996536135673523,0.642799973487854
2,"1 * max(x, 0)",1,x1 * x2,"max(x, 0)",0.8366143703460693,0.7009999752044678
2,cos(x) + sinh(x),cos(x),x1 + x2,sinh(x),nan,0.10000000149011612
2,"max(x, 0) + exp(x)","max(x, 0)",x1 + x2,exp(x),nan,0.10000000149011612
2,sin(x) / (sinc(x) + err),sin(x),x1 / (x2 + err),sinc(x),nan,0.10000000149011612
2,exp(-x^2) / (exp(-x^2) + err),exp(-x^2),x1 / (x2 + err),exp(-x^2),2.307382583618164,0.10000000149011612
2,"1 - min(x, 0)",1,x1 - x2,"min(x, 0)",0.783375084400177,0.7224000096321106
2,x**2 - abs(x),x**2,x1 - x2,abs(x),2.699103355407715,0.09920000284910202
2,0 * sinc(x),0,x1 * x2,sinc(x),2.302586793899536,0.10000000149011612
2,x + x**3,x,x1 + x2,x**3,3.33449028794581e+17,0.09920000284910202
2,x**3 * exp(-x^2),x**3,x1 * x2,exp(-x^2),1.8647308349609375,0.25760000944137573
3,exp(x) * sin(x),exp(x),x1 * x2,sin(x),nan,0.10000000149011612
3,(1/(1 + exp(-x))) / (atanh(x) + err),(1/(1 + exp(-x))),x1 / (x2 + err),atanh(x),nan,0.10000000149011612
3,"min(sin(x), exp(x))",sin(x),"min(x1, x2)",exp(x),1.0499153137207031,0.6259999871253967
3,sin(x) * sin(x),sin(x),x1 * x2,sin(x),2.303065538406372,0.09920000284910202
3,"max(exp(x), atanh(x))",exp(x),"max(x1, x2)",atanh(x),nan,0.10000000149011612
3,abs(x) - atanh(x),abs(x),x1 - x2,atanh(x),nan,0.10000000149011612
3,cosh(x) / (0 + err),cosh(x),x1 / (x2 + err),0,nan,0.10000000149011612
3,tanh(x) + (-x),tanh(x),x1 + x2,(-x),1.1862026453018188,0.5766000151634216
3,"max(atanh(x), cos(x))",atanh(x),"max(x1, x2)",cos(x),nan,0.10000000149011612
3,"min(exp(x), 1)",exp(x),"min(x1, x2)",1,1.0632189512252808,0.625
3,"x * max(x, 0)",x,x1 * x2,"max(x, 0)",3.3069612979888916,0.4115999937057495
3,x**3 - log(abs(x + err)),x**3,x1 - x2,log(abs(x + err)),nan,0.10000000149011612
3,log(1 + exp(x)) * abs(x),log(1 + exp(x)),x1 * x2,abs(x),nan,0.10000000149011612
3,log(abs(x + err)) + cosh(x),log(abs(x + err)),x1 + x2,cosh(x),nan,0.10000000149011612
3,erf(x) + tanh(x),erf(x),x1 + x2,tanh(x),0.9007465839385986,0.6808000206947327
3,"max(x, 0) * 0","max(x, 0)",x1 * x2,0,2.302588701248169,0.10000000149011612
3,cos(x) * cos(x),cos(x),x1 * x2,cos(x),2.303079605102539,0.10159999877214432
3,log(1 + exp(x)) / (exp(x) + err),log(1 + exp(x)),x1 / (x2 + err),exp(x),0.9102777242660522,0.6886000037193298
3,"max(abs(x), sqrt(x))",abs(x),"max(x1, x2)",sqrt(x),0.9359245896339417,0.66839998960495
3,x / (tanh(x) + err),x,x1 / (x2 + err),tanh(x),nan,0.10000000149011612
3,"min(cos(x), tanh(x))",cos(x),"min(x1, x2)",tanh(x),1.4708468914031982,0.4844000041484833
3,sinh(x) / (x**2 + err),sinh(x),x1 / (x2 + err),x**2,nan,0.10000000149011612
3,(-x) / (sinh(x) + err),(-x),x1 / (x2 + err),sinh(x),nan,0.10000000149011612
3,"max(sinh(x), sinh(x))",sinh(x),"max(x1, x2)",sinh(x),nan,0.10000000149011612
