Gen,C1_name,C1_unary1_key,C1_binary_key,C1_unary2_key,C2_name,C2_unary1_key,C2_binary_key,C2_unary2_key,C3_name,C3_unary1_key,C3_binary_key,C3_unary2_key,Loss,Accuracy
1,"min(erf(x), 0)",erf(x),"min(x1, x2)",0,"min(x, 0)",x,"min(x1, x2)",0,exp(x) - tanh(x),exp(x),x1 - x2,tanh(x),2.304133653640747,0.16539999842643738
1,erf(x) - (-x),erf(x),x1 - x2,(-x),"cos(x) * max(x, 0)",cos(x),x1 * x2,"max(x, 0)",x / (x + err),x,x1 / (x2 + err),x,2.6702067852020264,0.10000000149011612
2,"min(cos(x), 0)",cos(x),"min(x1, x2)",0,"min(x, 0)",x,"min(x1, x2)",0,exp(x) - tanh(x),exp(x),x1 - x2,tanh(x),2.3028829097747803,0.09780000150203705
2,"min(erf(x), x**2)",erf(x),"min(x1, x2)",x**2,"min(x, 0)",x,"min(x1, x2)",0,exp(x) - tanh(x),exp(x),x1 - x2,tanh(x),2.2765400409698486,0.15459999442100525
Total time:,45.54464292526245
