Gen,C1_name,C1_unary1_key,C1_binary_key,C1_unary2_key,C2_name,C2_unary1_key,C2_binary_key,C2_unary2_key,C3_name,C3_unary1_key,C3_binary_key,C3_unary2_key,Loss,Accuracy
1,"max(erf(x), 0)",erf(x),"max(x1, x2)",0,"min(sin(x), x**2)",sin(x),"min(x1, x2)",x**2,"max(max(x, 0), sinh(x))","max(x, 0)","max(x1, x2)",sinh(x),0.9817846417427063,0.6574000120162964
1,"max(tanh(x), log(abs(x + err)))",tanh(x),"max(x1, x2)",log(abs(x + err)),"max(sqrt(x), x**3)",sqrt(x),"max(x1, x2)",x**3,"min(sin(x), exp(-x^2))",sin(x),"min(x1, x2)",exp(-x^2),nan,0.10000000149011612
1,"max(atanh(x), sinc(x))",atanh(x),"max(x1, x2)",sinc(x),"min(sinc(x), log(1 + exp(x)))",sinc(x),"min(x1, x2)",log(1 + exp(x)),"min(x, 0) / (sin(x) + err)","min(x, 0)",x1 / (x2 + err),sin(x),nan,0.10000000149011612
1,cosh(x) + (1/(1 + exp(-x))),cosh(x),x1 + x2,(1/(1 + exp(-x))),(-x) + sinc(x),(-x),x1 + x2,sinc(x),exp(x) * tanh(x),exp(x),x1 * x2,tanh(x),nan,0.10000000149011612
1,"min(min(x, 0), abs(x))","min(x, 0)","min(x1, x2)",abs(x),"cos(x) + max(x, 0)",cos(x),x1 + x2,"max(x, 0)","min(x**2, sinh(x))",x**2,"min(x1, x2)",sinh(x),nan,0.10000000149011612
1,0 * atanh(x),0,x1 * x2,atanh(x),"min(sinh(x), abs(x))",sinh(x),"min(x1, x2)",abs(x),"min(x, 0) + tanh(x)","min(x, 0)",x1 + x2,tanh(x),nan,0.10000000149011612
1,"min(log(1 + exp(x)), log(abs(x + err)))",log(1 + exp(x)),"min(x1, x2)",log(abs(x + err)),"max(0, min(x, 0))",0,"max(x1, x2)","min(x, 0)",abs(x) * cosh(x),abs(x),x1 * x2,cosh(x),nan,0.10000000149011612
1,x**3 - x**3,x**3,x1 - x2,x**3,abs(x) + asinh(x),abs(x),x1 + x2,asinh(x),sinh(x) * log(abs(x + err)),sinh(x),x1 * x2,log(abs(x + err)),2.3026063442230225,0.10000000149011612
1,"min(exp(-x^2), x**3)",exp(-x^2),"min(x1, x2)",x**3,exp(-x^2) - (1/(1 + exp(-x))),exp(-x^2),x1 - x2,(1/(1 + exp(-x))),"max(x**3, atanh(x))",x**3,"max(x1, x2)",atanh(x),nan,0.10000000149011612
1,exp(-x^2) - sin(x),exp(-x^2),x1 - x2,sin(x),sqrt(x) - tanh(x),sqrt(x),x1 - x2,tanh(x),"sinc(x) * max(x, 0)",sinc(x),x1 * x2,"max(x, 0)",nan,0.10000000149011612
1,"min(x, 0) / (log(1 + exp(x)) + err)","min(x, 0)",x1 / (x2 + err),log(1 + exp(x)),exp(x) * sin(x),exp(x),x1 * x2,sin(x),atanh(x) - log(abs(x + err)),atanh(x),x1 - x2,log(abs(x + err)),nan,0.10000000149011612
1,cos(x) * erf(x),cos(x),x1 * x2,erf(x),"max(x, 0) + cosh(x)","max(x, 0)",x1 + x2,cosh(x),"min(atanh(x), asinh(x))",atanh(x),"min(x1, x2)",asinh(x),nan,0.10000000149011612
1,"max(tanh(x), atanh(x))",tanh(x),"max(x1, x2)",atanh(x),sinh(x) / (log(abs(x + err)) + err),sinh(x),x1 / (x2 + err),log(abs(x + err)),log(abs(x + err)) - atanh(x),log(abs(x + err)),x1 - x2,atanh(x),nan,0.10000000149011612
1,"max(x**2, max(x, 0))",x**2,"max(x1, x2)","max(x, 0)",tanh(x) - (1/(1 + exp(-x))),tanh(x),x1 - x2,(1/(1 + exp(-x))),"min(x**2, atanh(x))",x**2,"min(x1, x2)",atanh(x),nan,0.10000000149011612
1,"min(atanh(x), 1)",atanh(x),"min(x1, x2)",1,exp(x) * 0,exp(x),x1 * x2,0,log(abs(x + err)) / ((-x) + err),log(abs(x + err)),x1 / (x2 + err),(-x),nan,0.10000000149011612
1,"min(x, 0) - min(x, 0)","min(x, 0)",x1 - x2,"min(x, 0)",(-x) + erf(x),(-x),x1 + x2,erf(x),sinc(x) - abs(x),sinc(x),x1 - x2,abs(x),nan,0.10000000149011612
1,cos(x) / (sin(x) + err),cos(x),x1 / (x2 + err),sin(x),"min(1, sqrt(x))",1,"min(x1, x2)",sqrt(x),"min(asinh(x), (-x))",asinh(x),"min(x1, x2)",(-x),nan,0.10000000149011612
1,x**3 / (sqrt(x) + err),x**3,x1 / (x2 + err),sqrt(x),sinc(x) + erf(x),sinc(x),x1 + x2,erf(x),x**3 / (exp(-x^2) + err),x**3,x1 / (x2 + err),exp(-x^2),2.3025879859924316,0.10000000149011612
1,"min(x, 0) / (sqrt(x) + err)","min(x, 0)",x1 / (x2 + err),sqrt(x),"max(log(1 + exp(x)), min(x, 0))",log(1 + exp(x)),"max(x1, x2)","min(x, 0)",x**2 - x**3,x**2,x1 - x2,x**3,29.753774642944336,0.10000000149011612
1,exp(-x^2) * (-x),exp(-x^2),x1 * x2,(-x),sqrt(x) - (-x),sqrt(x),x1 - x2,(-x),"max(cos(x), log(1 + exp(x)))",cos(x),"max(x1, x2)",log(1 + exp(x)),nan,0.10000000149011612
1,"min(max(x, 0), max(x, 0))","max(x, 0)","min(x1, x2)","max(x, 0)",exp(x) + x,exp(x),x1 + x2,x,"max(asinh(x), cos(x))",asinh(x),"max(x1, x2)",cos(x),nan,0.10000000149011612
1,"x * max(x, 0)",x,x1 * x2,"max(x, 0)",x**2 * cosh(x),x**2,x1 * x2,cosh(x),"max(x, x**2)",x,"max(x1, x2)",x**2,nan,0.10000000149011612
1,"max(x, 0) / (min(x, 0) + err)","max(x, 0)",x1 / (x2 + err),"min(x, 0)","min(sqrt(x), (-x))",sqrt(x),"min(x1, x2)",(-x),"min(sin(x), x**2)",sin(x),"min(x1, x2)",x**2,nan,0.10000000149011612
1,"tanh(x) / (min(x, 0) + err)",tanh(x),x1 / (x2 + err),"min(x, 0)",atanh(x) * erf(x),atanh(x),x1 * x2,erf(x),sin(x) + (1/(1 + exp(-x))),sin(x),x1 + x2,(1/(1 + exp(-x))),2.306959390640259,0.10000000149011612
1,"x - min(x, 0)",x,x1 - x2,"min(x, 0)",x - x,x,x1 - x2,x,0 - log(1 + exp(x)),0,x1 - x2,log(1 + exp(x)),2.313481330871582,0.10000000149011612
2,"max(erf(x), 0)",erf(x),"max(x1, x2)",0,"min(sin(x), x**2)",sin(x),"min(x1, x2)",x**2,"max(max(x, 0), sinh(x))","max(x, 0)","max(x1, x2)",sinh(x),0.9817846417427063,0.6574000120162964
2,"max(sinh(x), 0)",sinh(x),"max(x1, x2)",0,"max(exp(-x^2), min(x, 0))",exp(-x^2),"max(x1, x2)","min(x, 0)","min(x, 0) + sin(x)","min(x, 0)",x1 + x2,sin(x),1.1938247680664062,0.573199987411499
2,erf(x) - sin(x),erf(x),x1 - x2,sin(x),"min(x, 0) * sinc(x)","min(x, 0)",x1 * x2,sinc(x),x**2 - sinh(x),x**2,x1 - x2,sinh(x),1.3257184028625488,0.524399995803833
2,"min(erf(x), log(1 + exp(x)))",erf(x),"min(x1, x2)",log(1 + exp(x)),"min(sinh(x), log(1 + exp(x)))",sinh(x),"min(x1, x2)",log(1 + exp(x)),exp(-x^2) - x**2,exp(-x^2),x1 - x2,x**2,4.764187335968018,0.13040000200271606
2,erf(x) + cos(x),erf(x),x1 + x2,cos(x),"min(x**3, sinc(x))",x**3,"min(x1, x2)",sinc(x),exp(-x^2) + log(abs(x + err)),exp(-x^2),x1 + x2,log(abs(x + err)),2.298692464828491,0.11159999668598175
2,"min(erf(x), log(abs(x + err)))",erf(x),"min(x1, x2)",log(abs(x + err)),"min(sinh(x), min(x, 0))",sinh(x),"min(x1, x2)","min(x, 0)","min(x, 0) + sin(x)","min(x, 0)",x1 + x2,sin(x),nan,0.10000000149011612
2,"min(erf(x), log(1 + exp(x)))",erf(x),"min(x1, x2)",log(1 + exp(x)),"min(sinh(x), (-x))",sinh(x),"min(x1, x2)",(-x),exp(-x^2) - x**2,exp(-x^2),x1 - x2,x**2,2.3028407096862793,0.10000000149011612
2,"max(sinh(x), 0)",sinh(x),"max(x1, x2)",0,exp(-x^2) * log(1 + exp(x)),exp(-x^2),x1 * x2,log(1 + exp(x)),exp(-x^2) - x**2,exp(-x^2),x1 - x2,x**2,nan,0.10000000149011612
