Gen,C1_name,C1_unary1_key,C1_binary_key,C1_unary2_key,Loss,Accuracy
2,sin(x) / (tanh(x) + err),sin(x),x1 / (x2 + err),tanh(x),nan,0.009999999776482582
2,"max(sinc(x), sinc(x))",sinc(x),"max(x1, x2)",sinc(x),4.605208396911621,0.009999999776482582
2,"(-x) + max(x, 0)",(-x),x1 + x2,"max(x, 0)",2.6344690322875977,0.34200000762939453
2,"min(x, 0) / (1 + err)","min(x, 0)",x1 / (x2 + err),1,3.1086227893829346,0.25279998779296875
2,"min(sinc(x), log(1 + exp(x)))",sinc(x),"min(x1, x2)",log(1 + exp(x)),nan,0.009999999776482582
2,"max(sinc(x), cosh(x))",sinc(x),"max(x1, x2)",cosh(x),nan,0.009999999776482582
2,"max(1, cos(x))",1,"max(x1, x2)",cos(x),4.613759517669678,0.009999999776482582
2,tanh(x) - 1,tanh(x),x1 - x2,1,2.90059494972229,0.2842000126838684
2,"max(sinc(x), exp(x))",sinc(x),"max(x1, x2)",exp(x),nan,0.009999999776482582
2,"max(x, 0) * log(abs(x + err))","max(x, 0)",x1 * x2,log(abs(x + err)),3.082432985305786,0.272599995136261
2,x * tanh(x),x,x1 * x2,tanh(x),3.289595365524292,0.22300000488758087
2,"min(0, erf(x))",0,"min(x1, x2)",erf(x),3.473921537399292,0.18060000240802765
2,"max((-x), exp(-x^2))",(-x),"max(x1, x2)",exp(-x^2),2.786546230316162,0.3147999942302704
2,"min(x, 0) - 0","min(x, 0)",x1 - x2,0,2.951441764831543,0.28299999237060547
2,"max(x**2, sinh(x))",x**2,"max(x1, x2)",sinh(x),nan,0.009999999776482582
2,"min(sin(x), abs(x))",sin(x),"min(x1, x2)",abs(x),3.243762731552124,0.23100000619888306
2,log(1 + exp(x)) - erf(x),log(1 + exp(x)),x1 - x2,erf(x),nan,0.009999999776482582
2,"min(x, 0) + max(x, 0)","min(x, 0)",x1 + x2,"max(x, 0)",2.914728879928589,0.30160000920295715
2,"min(log(1 + exp(x)), tanh(x))",log(1 + exp(x)),"min(x1, x2)",tanh(x),2.907421588897705,0.28619998693466187
