Gen,C1_name,C1_unary1_key,C1_binary_key,C1_unary2_key,Loss,Accuracy
1,asinh(x) * exp(-x^2),asinh(x),x1 * x2,exp(-x^2),2.302586555480957,0.10000000149011612
1,"log(abs(x + err)) + min(x, 0)",log(abs(x + err)),x1 + x2,"min(x, 0)",nan,0.10000000149011612
2,"max(exp(-x^2), x)",exp(-x^2),"max(x1, x2)",x,0.8862200975418091,0.6776000261306763
3,"max(exp(x), min(x, 0))",exp(x),"max(x1, x2)","min(x, 0)",nan,0.10000000149011612
4,sin(x) + log(1 + exp(x)),sin(x),x1 + x2,log(1 + exp(x)),0.8816615343093872,0.6869999766349792
5,asinh(x) - sinc(x),asinh(x),x1 - x2,sinc(x),nan,0.10000000149011612
6,(1/(1 + exp(-x))) / (erf(x) + err),(1/(1 + exp(-x))),x1 / (x2 + err),erf(x),nan,0.10000000149011612
7,"max(sin(x), max(x, 0))",sin(x),"max(x1, x2)","max(x, 0)",0.8135344386100769,0.7081999778747559
8,"max(1, max(x, 0))",1,"max(x1, x2)","max(x, 0)",1.0942527055740356,0.6078000068664551
9,log(1 + exp(x)) + 1,log(1 + exp(x)),x1 + x2,1,0.8748970627784729,0.6899999976158142
10,"min(x, cos(x))",x,"min(x1, x2)",cos(x),1.0634071826934814,0.6305999755859375
11,(1/(1 + exp(-x))) * 1,(1/(1 + exp(-x))),x1 * x2,1,0.8826996088027954,0.6887999773025513
12,"sinc(x) + min(x, 0)",sinc(x),x1 + x2,"min(x, 0)",nan,0.10000000149011612
13,tanh(x) - (1/(1 + exp(-x))),tanh(x),x1 - x2,(1/(1 + exp(-x))),1.016850471496582,0.6406000256538391
14,"max(x, 0) * log(1 + exp(x))","max(x, 0)",x1 * x2,log(1 + exp(x)),nan,0.10000000149011612
15,x**2 + exp(-x^2),x**2,x1 + x2,exp(-x^2),2.316230535507202,0.10260000079870224
16,"max(tanh(x), sqrt(x))",tanh(x),"max(x1, x2)",sqrt(x),1.4670519828796387,0.4966000020503998
17,erf(x) - tanh(x),erf(x),x1 - x2,tanh(x),1.4780231714248657,0.5189999938011169
18,sinc(x) / (asinh(x) + err),sinc(x),x1 / (x2 + err),asinh(x),nan,0.10000000149011612
19,"max(max(x, 0), cos(x))","max(x, 0)","max(x1, x2)",cos(x),0.9599705934524536,0.6654000282287598
20,x + 0,x,x1 + x2,0,1.050534963607788,0.635200023651123
21,"max(sinh(x), x**3)",sinh(x),"max(x1, x2)",x**3,nan,0.10000000149011612
22,cosh(x) / (sinc(x) + err),cosh(x),x1 / (x2 + err),sinc(x),nan,0.10000000149011612
