Gen,C1_name,C1_unary1_key,C1_binary_key,C1_unary2_key,C2_name,C2_unary1_key,C2_binary_key,C2_unary2_key,C3_name,C3_unary1_key,C3_binary_key,C3_unary2_key,Loss,Accuracy
1,"min(cosh(x), exp(x))",cosh(x),"min(x1, x2)",exp(x),x - (-x),x,x1 - x2,(-x),"max(cos(x), min(x, 0))",cos(x),"max(x1, x2)","min(x, 0)",1.2825480699539185,0.5347999930381775
1,1 * sqrt(x),1,x1 * x2,sqrt(x),abs(x) / (log(1 + exp(x)) + err),abs(x),x1 / (x2 + err),log(1 + exp(x)),"min(erf(x), (1/(1 + exp(-x))))",erf(x),"min(x1, x2)",(1/(1 + exp(-x))),nan,0.10000000149011612
1,"max(erf(x), max(x, 0))",erf(x),"max(x1, x2)","max(x, 0)",exp(x) - tanh(x),exp(x),x1 - x2,tanh(x),tanh(x) / ((1/(1 + exp(-x))) + err),tanh(x),x1 / (x2 + err),(1/(1 + exp(-x))),nan,0.10000000149011612
1,erf(x) - 1,erf(x),x1 - x2,1,sinc(x) / (log(abs(x + err)) + err),sinc(x),x1 / (x2 + err),log(abs(x + err)),"min((1/(1 + exp(-x))), (-x))",(1/(1 + exp(-x))),"min(x1, x2)",(-x),nan,0.10000000149011612
1,"max(cos(x), x**2)",cos(x),"max(x1, x2)",x**2,"min(x, 0) * tanh(x)","min(x, 0)",x1 * x2,tanh(x),"exp(-x^2) * min(x, 0)",exp(-x^2),x1 * x2,"min(x, 0)",1.197878360748291,0.573199987411499
1,sinh(x) + log(1 + exp(x)),sinh(x),x1 + x2,log(1 + exp(x)),exp(x) - atanh(x),exp(x),x1 - x2,atanh(x),sin(x) + sin(x),sin(x),x1 + x2,sin(x),nan,0.10000000149011612
1,(-x) - log(1 + exp(x)),(-x),x1 - x2,log(1 + exp(x)),exp(-x^2) + log(abs(x + err)),exp(-x^2),x1 + x2,log(abs(x + err)),"max(exp(-x^2), sin(x))",exp(-x^2),"max(x1, x2)",sin(x),nan,0.10000000149011612
1,atanh(x) - tanh(x),atanh(x),x1 - x2,tanh(x),x**2 * erf(x),x**2,x1 * x2,erf(x),"min(x, sin(x))",x,"min(x1, x2)",sin(x),nan,0.10000000149011612
1,"max((1/(1 + exp(-x))), asinh(x))",(1/(1 + exp(-x))),"max(x1, x2)",asinh(x),log(1 + exp(x)) - asinh(x),log(1 + exp(x)),x1 - x2,asinh(x),tanh(x) * tanh(x),tanh(x),x1 * x2,tanh(x),0.9189358353614807,0.6841999888420105
1,sin(x) + cos(x),sin(x),x1 + x2,cos(x),"max(exp(-x^2), asinh(x))",exp(-x^2),"max(x1, x2)",asinh(x),exp(-x^2) / (x**2 + err),exp(-x^2),x1 / (x2 + err),x**2,2.3025870323181152,0.10000000149011612
1,exp(x) * erf(x),exp(x),x1 * x2,erf(x),log(abs(x + err)) + sqrt(x),log(abs(x + err)),x1 + x2,sqrt(x),erf(x) / (x + err),erf(x),x1 / (x2 + err),x,nan,0.10000000149011612
1,"max(max(x, 0), sin(x))","max(x, 0)","max(x1, x2)",sin(x),"max(sinc(x), exp(x))",sinc(x),"max(x1, x2)",exp(x),"max(1, exp(-x^2))",1,"max(x1, x2)",exp(-x^2),nan,0.10000000149011612
1,"max(cos(x), erf(x))",cos(x),"max(x1, x2)",erf(x),sinc(x) + sqrt(x),sinc(x),x1 + x2,sqrt(x),x**3 / (exp(x) + err),x**3,x1 / (x2 + err),exp(x),nan,0.10000000149011612
