Gen,C1_name,C1_unary1_key,C1_binary_key,C1_unary2_key,Loss,Accuracy
1,x**3 - log(1 + exp(x)),x**3,x1 - x2,log(1 + exp(x)),nan,0.10000000149011612
1,(1/(1 + exp(-x))) + sinh(x),(1/(1 + exp(-x))),x1 + x2,sinh(x),nan,0.10000000149011612
1,sin(x) / (tanh(x) + err),sin(x),x1 / (x2 + err),tanh(x),nan,0.10000000149011612
1,"min(x, sinh(x))",x,"min(x1, x2)",sinh(x),nan,0.10000000149011612
1,erf(x) - sqrt(x),erf(x),x1 - x2,sqrt(x),nan,0.10000000149011612
1,"max(max(x, 0), tanh(x))","max(x, 0)","max(x1, x2)",tanh(x),0.8195352554321289,0.7179999947547913
1,"max(x, 0) + min(x, 0)","max(x, 0)",x1 + x2,"min(x, 0)",1.0417523384094238,0.6388000249862671
1,log(1 + exp(x)) * tanh(x),log(1 + exp(x)),x1 * x2,tanh(x),0.80185866355896,0.7185999751091003
1,tanh(x) / (cos(x) + err),tanh(x),x1 / (x2 + err),cos(x),nan,0.10000000149011612
1,"min(log(1 + exp(x)), sqrt(x))",log(1 + exp(x)),"min(x1, x2)",sqrt(x),nan,0.10000000149011612
1,x**3 - cos(x),x**3,x1 - x2,cos(x),21.650510787963867,0.10000000149011612
1,"min(cos(x), cos(x))",cos(x),"min(x1, x2)",cos(x),1.279814600944519,0.5654000043869019
1,x**2 + asinh(x),x**2,x1 + x2,asinh(x),1.8780205249786377,0.3025999963283539
1,abs(x) - x**2,abs(x),x1 - x2,x**2,23698.26171875,0.10499999672174454
1,"max(x, 0) / (max(x, 0) + err)","max(x, 0)",x1 / (x2 + err),"max(x, 0)",2.193779468536377,0.20720000565052032
1,exp(x) + sqrt(x),exp(x),x1 + x2,sqrt(x),nan,0.10000000149011612
1,"max(log(abs(x + err)), x)",log(abs(x + err)),"max(x1, x2)",x,0.8024302124977112,0.7152000069618225
1,"min(erf(x), (1/(1 + exp(-x))))",erf(x),"min(x1, x2)",(1/(1 + exp(-x))),0.9382642507553101,0.6668000221252441
1,log(abs(x + err)) + sinh(x),log(abs(x + err)),x1 + x2,sinh(x),nan,0.10000000149011612
1,"min(x, (-x))",x,"min(x1, x2)",(-x),1.109249234199524,0.6069999933242798
1,sinc(x) / (atanh(x) + err),sinc(x),x1 / (x2 + err),atanh(x),nan,0.10000000149011612
1,"max(x, 0) - erf(x)","max(x, 0)",x1 - x2,erf(x),0.8675217628479004,0.6916000247001648
1,x / (log(1 + exp(x)) + err),x,x1 / (x2 + err),log(1 + exp(x)),nan,0.10000000149011612
1,erf(x) / (log(abs(x + err)) + err),erf(x),x1 / (x2 + err),log(abs(x + err)),2.3126461505889893,0.10000000149011612
1,"max(x, 0) / (log(1 + exp(x)) + err)","max(x, 0)",x1 / (x2 + err),log(1 + exp(x)),0.9950197339057922,0.6470000147819519
1,"min(log(abs(x + err)), log(1 + exp(x)))",log(abs(x + err)),"min(x1, x2)",log(1 + exp(x)),nan,0.10000000149011612
1,exp(-x^2) * sqrt(x),exp(-x^2),x1 * x2,sqrt(x),nan,0.10000000149011612
1,log(abs(x + err)) * sin(x),log(abs(x + err)),x1 * x2,sin(x),1.7337144613265991,0.36899998784065247
1,"min(x, sinc(x))",x,"min(x1, x2)",sinc(x),0.9646496176719666,0.659600019454956
1,"x * max(x, 0)",x,x1 * x2,"max(x, 0)",13.925164222717285,0.46059998869895935
1,log(1 + exp(x)) + cosh(x),log(1 + exp(x)),x1 + x2,cosh(x),nan,0.10000000149011612
1,"min(sinh(x), sinh(x))",sinh(x),"min(x1, x2)",sinh(x),nan,0.10000000149011612
1,log(abs(x + err)) * asinh(x),log(abs(x + err)),x1 * x2,asinh(x),0.9529351592063904,0.6791999936103821
1,"0 * max(x, 0)",0,x1 * x2,"max(x, 0)",2.3025872707366943,0.10000000149011612
1,atanh(x) * cosh(x),atanh(x),x1 * x2,cosh(x),nan,0.10000000149011612
1,"tanh(x) / (max(x, 0) + err)",tanh(x),x1 / (x2 + err),"max(x, 0)",nan,0.10000000149011612
1,sin(x) / (atanh(x) + err),sin(x),x1 / (x2 + err),atanh(x),nan,0.10000000149011612
1,tanh(x) - 0,tanh(x),x1 - x2,0,0.8948621153831482,0.6859999895095825
1,1 / (abs(x) + err),1,x1 / (x2 + err),abs(x),nan,0.10000000149011612
1,asinh(x) / (0 + err),asinh(x),x1 / (x2 + err),0,nan,0.10000000149011612
1,sinh(x) - sqrt(x),sinh(x),x1 - x2,sqrt(x),nan,0.10000000149011612
1,"min(x, sqrt(x))",x,"min(x1, x2)",sqrt(x),0.9959980249404907,0.6528000235557556
1,"cos(x) + min(x, 0)",cos(x),x1 + x2,"min(x, 0)",1.1521204710006714,0.602400004863739
1,"min(min(x, 0), sinh(x))","min(x, 0)","min(x1, x2)",sinh(x),nan,0.10000000149011612
1,"max(0, x**2)",0,"max(x1, x2)",x**2,2.308065891265869,0.12700000405311584
1,(1/(1 + exp(-x))) - (-x),(1/(1 + exp(-x))),x1 - x2,(-x),1.0070409774780273,0.6466000080108643
1,"min((-x), x)",(-x),"min(x1, x2)",x,1.1951934099197388,0.5705999732017517
1,"max(sinc(x), sinh(x))",sinc(x),"max(x1, x2)",sinh(x),nan,0.10000000149011612
1,exp(x) + sinc(x),exp(x),x1 + x2,sinc(x),nan,0.10000000149011612
1,x**2 / (log(1 + exp(x)) + err),x**2,x1 / (x2 + err),log(1 + exp(x)),nan,0.10000000149011612
