Gen,C1_name,C1_unary1_key,C1_binary_key,C1_unary2_key,C2_name,C2_unary1_key,C2_binary_key,C2_unary2_key,C3_name,C3_unary1_key,C3_binary_key,C3_unary2_key,Loss,Accuracy
1,tanh(x) / (atanh(x) + err),tanh(x),x1 / (x2 + err),atanh(x),sinh(x) * (-x),sinh(x),x1 * x2,(-x),"x**3 * max(x, 0)",x**3,x1 * x2,"max(x, 0)",nan,0.10000000149011612
1,x**2 - exp(-x^2),x**2,x1 - x2,exp(-x^2),log(1 + exp(x)) / (exp(x) + err),log(1 + exp(x)),x1 / (x2 + err),exp(x),cos(x) + x,cos(x),x1 + x2,x,2.9065158367156982,0.1462000012397766
2,x**2 - exp(-x^2),x**2,x1 - x2,exp(-x^2),cos(x) / (exp(x) + err),cos(x),x1 / (x2 + err),exp(x),cos(x) + x,cos(x),x1 + x2,x,nan,0.10000000149011612
2,x**2 - exp(-x^2),x**2,x1 - x2,exp(-x^2),cosh(x) / (exp(x) + err),cosh(x),x1 / (x2 + err),exp(x),cos(x) + x,cos(x),x1 + x2,x,nan,0.10000000149011612
Total time:,48.19655203819275
