Gen,C1_name,C1_unary1_key,C1_binary_key,C1_unary2_key,C2_name,C2_unary1_key,C2_binary_key,C2_unary2_key,C3_name,C3_unary1_key,C3_binary_key,C3_unary2_key,Loss,Accuracy
1,abs(x) * cos(x),abs(x),x1 * x2,cos(x),x**3 / (1 + err),x**3,x1 / (x2 + err),1,sinc(x) / (erf(x) + err),sinc(x),x1 / (x2 + err),erf(x),2.3028857707977295,0.09780000150203705
1,exp(-x^2) / (log(abs(x + err)) + err),exp(-x^2),x1 / (x2 + err),log(abs(x + err)),exp(-x^2) + sinc(x),exp(-x^2),x1 + x2,sinc(x),log(1 + exp(x)) + sin(x),log(1 + exp(x)),x1 + x2,sin(x),nan,0.10000000149011612
2,abs(x) * x**2,abs(x),x1 * x2,x**2,x**3 / (1 + err),x**3,x1 / (x2 + err),1,sinc(x) / (erf(x) + err),sinc(x),x1 / (x2 + err),erf(x),2.3036351203918457,0.10000000149011612
2,abs(x) * cos(x),abs(x),x1 * x2,cos(x),x**3 / (1 + err),x**3,x1 / (x2 + err),1,sinc(x) / (cos(x) + err),sinc(x),x1 / (x2 + err),cos(x),2.3031089305877686,0.09740000218153
Total time:,66.43199300765991
