Gen,C1_name,C1_unary1_key,C1_binary_key,C1_unary2_key,C2_name,C2_unary1_key,C2_binary_key,C2_unary2_key,C3_name,C3_unary1_key,C3_binary_key,C3_unary2_key,Loss,Accuracy
8,exp(x) / (atanh(x) + err),exp(x),x1 / (x2 + err),atanh(x),exp(x) + x**2,exp(x),x1 + x2,x**2,(-x) + abs(x),(-x),x1 + x2,abs(x),nan,0.10000000149011612
8,x**2 / (x + err),x**2,x1 / (x2 + err),x,"max(sin(x), 1)",sin(x),"max(x1, x2)",1,abs(x) / (tanh(x) + err),abs(x),x1 / (x2 + err),tanh(x),16.064449310302734,0.10000000149011612
8,"max(sinc(x), (-x))",sinc(x),"max(x1, x2)",(-x),"sinh(x) + min(x, 0)",sinh(x),x1 + x2,"min(x, 0)","1 - max(x, 0)",1,x1 - x2,"max(x, 0)",nan,0.10000000149011612
8,sinc(x) / (atanh(x) + err),sinc(x),x1 / (x2 + err),atanh(x),"max(abs(x), min(x, 0))",abs(x),"max(x1, x2)","min(x, 0)","min(abs(x), min(x, 0))",abs(x),"min(x1, x2)","min(x, 0)",nan,0.10000000149011612
8,"cosh(x) / (max(x, 0) + err)",cosh(x),x1 / (x2 + err),"max(x, 0)",exp(-x^2) - sqrt(x),exp(-x^2),x1 - x2,sqrt(x),"max(sinh(x), max(x, 0))",sinh(x),"max(x1, x2)","max(x, 0)",nan,0.10000000149011612
8,"max(cos(x), 0)",cos(x),"max(x1, x2)",0,exp(x) / ((-x) + err),exp(x),x1 / (x2 + err),(-x),"max(log(abs(x + err)), asinh(x))",log(abs(x + err)),"max(x1, x2)",asinh(x),nan,0.10000000149011612
8,atanh(x) + asinh(x),atanh(x),x1 + x2,asinh(x),"max(tanh(x), x**3)",tanh(x),"max(x1, x2)",x**3,(1/(1 + exp(-x))) / (tanh(x) + err),(1/(1 + exp(-x))),x1 / (x2 + err),tanh(x),nan,0.10000000149011612
8,"max(x, 0) + min(x, 0)","max(x, 0)",x1 + x2,"min(x, 0)","tanh(x) * min(x, 0)",tanh(x),x1 * x2,"min(x, 0)",cosh(x) + exp(x),cosh(x),x1 + x2,exp(x),nan,0.10000000149011612
8,"1 * min(x, 0)",1,x1 * x2,"min(x, 0)","min(cosh(x), min(x, 0))",cosh(x),"min(x1, x2)","min(x, 0)",atanh(x) + 0,atanh(x),x1 + x2,0,nan,0.10000000149011612
8,"max(1, cos(x))",1,"max(x1, x2)",cos(x),"max(x**2, cos(x))",x**2,"max(x1, x2)",cos(x),"min(erf(x), atanh(x))",erf(x),"min(x1, x2)",atanh(x),2.334033489227295,0.10000000149011612
8,"min(cos(x), cosh(x))",cos(x),"min(x1, x2)",cosh(x),"max(log(abs(x + err)), exp(x))",log(abs(x + err)),"max(x1, x2)",exp(x),cosh(x) / (x**3 + err),cosh(x),x1 / (x2 + err),x**3,nan,0.10000000149011612
8,exp(x) / (cos(x) + err),exp(x),x1 / (x2 + err),cos(x),"atanh(x) + max(x, 0)",atanh(x),x1 + x2,"max(x, 0)","max(x, 0)",x,"max(x1, x2)",0,nan,0.10000000149011612
8,"min(sinh(x), 0)",sinh(x),"min(x1, x2)",0,sin(x) + sinh(x),sin(x),x1 + x2,sinh(x),"max(exp(x), abs(x))",exp(x),"max(x1, x2)",abs(x),nan,0.10000000149011612
8,"min(x, 0) / (erf(x) + err)","min(x, 0)",x1 / (x2 + err),erf(x),1 - exp(-x^2),1,x1 - x2,exp(-x^2),sinc(x) / (sqrt(x) + err),sinc(x),x1 / (x2 + err),sqrt(x),nan,0.10000000149011612
8,"max(x, 0) - exp(-x^2)","max(x, 0)",x1 - x2,exp(-x^2),cosh(x) * cos(x),cosh(x),x1 * x2,cos(x),"x / (min(x, 0) + err)",x,x1 / (x2 + err),"min(x, 0)",nan,0.10000000149011612
8,asinh(x) / (0 + err),asinh(x),x1 / (x2 + err),0,"max(sin(x), sqrt(x))",sin(x),"max(x1, x2)",sqrt(x),sqrt(x) * exp(-x^2),sqrt(x),x1 * x2,exp(-x^2),nan,0.10000000149011612
8,atanh(x) * cosh(x),atanh(x),x1 * x2,cosh(x),"max(x**2, x**3)",x**2,"max(x1, x2)",x**3,"min(x, erf(x))",x,"min(x1, x2)",erf(x),nan,0.10000000149011612
8,"min((-x), max(x, 0))",(-x),"min(x1, x2)","max(x, 0)","max((1/(1 + exp(-x))), sinc(x))",(1/(1 + exp(-x))),"max(x1, x2)",sinc(x),sqrt(x) / (0 + err),sqrt(x),x1 / (x2 + err),0,nan,0.10000000149011612
8,atanh(x) * log(abs(x + err)),atanh(x),x1 * x2,log(abs(x + err)),sqrt(x) - sinc(x),sqrt(x),x1 - x2,sinc(x),0 * tanh(x),0,x1 * x2,tanh(x),nan,0.10000000149011612
8,cosh(x) + x,cosh(x),x1 + x2,x,cos(x) + x**3,cos(x),x1 + x2,x**3,"min(sin(x), 1)",sin(x),"min(x1, x2)",1,nan,0.10000000149011612
8,1 * log(1 + exp(x)),1,x1 * x2,log(1 + exp(x)),asinh(x) / (cosh(x) + err),asinh(x),x1 / (x2 + err),cosh(x),0 * cos(x),0,x1 * x2,cos(x),2.3025870323181152,0.10000000149011612
8,"max(log(abs(x + err)), log(1 + exp(x)))",log(abs(x + err)),"max(x1, x2)",log(1 + exp(x)),"max(asinh(x), cos(x))",asinh(x),"max(x1, x2)",cos(x),erf(x) * sqrt(x),erf(x),x1 * x2,sqrt(x),0.9054366946220398,0.6863999962806702
8,abs(x) - (1/(1 + exp(-x))),abs(x),x1 - x2,(1/(1 + exp(-x))),"min(1, x**2)",1,"min(x1, x2)",x**2,"min(exp(-x^2), atanh(x))",exp(-x^2),"min(x1, x2)",atanh(x),nan,0.10000000149011612
