Gen,C1_name,C1_unary1_key,C1_binary_key,C1_unary2_key,C2_name,C2_unary1_key,C2_binary_key,C2_unary2_key,C3_name,C3_unary1_key,C3_binary_key,C3_unary2_key,Loss,Accuracy
1,sinh(x) / (sqrt(x) + err),sinh(x),x1 / (x2 + err),sqrt(x),tanh(x) * sinc(x),tanh(x),x1 * x2,sinc(x),exp(-x^2) * sinh(x),exp(-x^2),x1 * x2,sinh(x),2.328158140182495,0.10000000149011612
1,"max(asinh(x), 1)",asinh(x),"max(x1, x2)",1,sin(x) * sqrt(x),sin(x),x1 * x2,sqrt(x),"max(abs(x), exp(x))",abs(x),"max(x1, x2)",exp(x),1.4642844200134277,0.5049999952316284
1,"min(1, (1/(1 + exp(-x))))",1,"min(x1, x2)",(1/(1 + exp(-x))),0 + sin(x),0,x1 + x2,sin(x),"max(cosh(x), sinh(x))",cosh(x),"max(x1, x2)",sinh(x),1.0131642818450928,0.6439999938011169
1,cosh(x) - sinh(x),cosh(x),x1 - x2,sinh(x),"min(asinh(x), sin(x))",asinh(x),"min(x1, x2)",sin(x),"max(abs(x), sinc(x))",abs(x),"max(x1, x2)",sinc(x),0.9238064289093018,0.6718000173568726
1,"max(x**3, sinh(x))",x**3,"max(x1, x2)",sinh(x),1 - tanh(x),1,x1 - x2,tanh(x),atanh(x) + x,atanh(x),x1 + x2,x,nan,0.10000000149011612
1,"min(x, 0) + x**2","min(x, 0)",x1 + x2,x**2,"min(x, 0) - abs(x)","min(x, 0)",x1 - x2,abs(x),"max(sinc(x), (-x))",sinc(x),"max(x1, x2)",(-x),0.9728870391845703,0.6674000024795532
1,(-x) / (x + err),(-x),x1 / (x2 + err),x,x / (x**3 + err),x,x1 / (x2 + err),x**3,"min(cos(x), atanh(x))",cos(x),"min(x1, x2)",atanh(x),nan,0.10000000149011612
1,x**3 * sinh(x),x**3,x1 * x2,sinh(x),sinh(x) + sinh(x),sinh(x),x1 + x2,sinh(x),0 * abs(x),0,x1 * x2,abs(x),nan,0.10000000149011612
1,"min(x**3, (-x))",x**3,"min(x1, x2)",(-x),cos(x) + tanh(x),cos(x),x1 + x2,tanh(x),cosh(x) + sinc(x),cosh(x),x1 + x2,sinc(x),1.210664987564087,0.5740000009536743
1,"min(erf(x), abs(x))",erf(x),"min(x1, x2)",abs(x),abs(x) + 0,abs(x),x1 + x2,0,cosh(x) + cos(x),cosh(x),x1 + x2,cos(x),nan,0.10000000149011612
1,cos(x) - atanh(x),cos(x),x1 - x2,atanh(x),"max(exp(-x^2), cosh(x))",exp(-x^2),"max(x1, x2)",cosh(x),exp(-x^2) + atanh(x),exp(-x^2),x1 + x2,atanh(x),nan,0.10000000149011612
1,log(abs(x + err)) - 1,log(abs(x + err)),x1 - x2,1,erf(x) - sqrt(x),erf(x),x1 - x2,sqrt(x),"erf(x) + max(x, 0)",erf(x),x1 + x2,"max(x, 0)",nan,0.10000000149011612
1,"min(asinh(x), cosh(x))",asinh(x),"min(x1, x2)",cosh(x),0 + (1/(1 + exp(-x))),0,x1 + x2,(1/(1 + exp(-x))),"exp(-x^2) - max(x, 0)",exp(-x^2),x1 - x2,"max(x, 0)",0.9302011728286743,0.6682000160217285
1,x**2 * log(1 + exp(x)),x**2,x1 * x2,log(1 + exp(x)),"max(log(abs(x + err)), abs(x))",log(abs(x + err)),"max(x1, x2)",abs(x),abs(x) * erf(x),abs(x),x1 * x2,erf(x),1.0308154821395874,0.6326000094413757
1,cos(x) - log(1 + exp(x)),cos(x),x1 - x2,log(1 + exp(x)),cos(x) * x**2,cos(x),x1 * x2,x**2,asinh(x) / (log(1 + exp(x)) + err),asinh(x),x1 / (x2 + err),log(1 + exp(x)),nan,0.10000000149011612
1,sqrt(x) * exp(x),sqrt(x),x1 * x2,exp(x),"max(x, 0) - sqrt(x)","max(x, 0)",x1 - x2,sqrt(x),cos(x) + x**3,cos(x),x1 + x2,x**3,nan,0.10000000149011612
